race,age,engnat,gender,hand,source,country,E,N,A,C,O,maximum,personality_type
3,36,1,1,1,1,US,2.9,3.6,3.3,3.4,3.8,3.8,O
3,21,1,2,1,1,GB,3.2,3.5,3.2,3.5,3.6,3.6,O
3,21,2,2,1,1,BE,2.5,4.0,3.4,3.9,3.7,4.0,N
3,13,1,1,1,1,GB,3.5,4.4,3.0,3.3,3.0,4.4,N
13,21,2,2,1,5,US,2.9,3.0,3.2,2.8,3.1,3.2,A
3,32,2,1,1,1,HR,3.1,1.8,3.3,2.9,3.0,3.3,A
3,33,1,2,1,1,US,3.1,2.9,2.9,2.8,3.7,3.7,O
3,33,1,1,1,1,US,2.9,2.6,3.2,3.3,3.5,3.5,O
3,16,1,1,1,1,GB,2.9,3.2,3.4,3.1,3.1,3.4,A
3,21,2,2,1,1,BE,3.2,3.4,3.0,3.4,3.3,3.4,N
3,31,2,2,1,5,NO,2.9,2.0,2.5,2.7,3.5,3.5,O
3,17,1,1,1,1,US,3.1,2.4,3.0,2.5,3.7,3.7,O
3,26,1,2,1,5,GB,2.8,2.8,3.0,3.4,3.1,3.4,C
3,34,2,1,1,1,BE,2.7,3.7,3.4,3.5,3.8,3.8,O
1,21,1,2,1,1,ZA,2.6,1.4,2.6,3.4,3.4,3.4,C
3,26,2,2,1,2,US,3.4,2.8,3.5,3.5,3.3,3.5,A
3,22,2,2,1,1,NO,3.1,1.8,3.2,3.2,3.6,3.6,O
3,19,2,2,1,1,NO,2.5,3.7,3.0,2.6,2.8,3.7,N
3,19,2,1,1,1,FI,3.2,3.1,3.5,2.7,3.2,3.5,A
1,21,1,2,1,1,US,3.5,3.1,3.4,3.3,3.6,3.6,O
3,49,2,1,1,1,BE,2.9,1.9,3.0,3.6,3.2,3.6,C
3,18,1,2,1,1,US,3.7,2.8,3.8,3.4,3.4,3.8,A
3,32,1,2,1,4,US,2.4,3.6,3.0,2.8,3.0,3.6,N
3,60,1,2,1,1,US,3.4,3.1,3.3,3.3,3.8,3.8,O
3,22,1,2,1,1,IE,2.6,3.7,3.5,3.0,3.7,3.7,N
3,24,1,1,1,1,PL,3.1,2.5,2.0,3.0,3.1,3.1,E
6,16,2,2,2,1,BR,2.5,2.6,3.2,3.5,3.1,3.5,C
3,20,2,1,1,1,SK,3.0,3.3,3.1,3.0,3.0,3.3,N
1,47,1,2,1,2,US,2.6,2.3,2.9,2.5,3.0,3.0,O
3,15,1,2,1,1,US,2.5,3.8,2.9,3.5,3.2,3.8,N
13,17,1,2,1,1,US,3.2,3.7,2.7,2.4,2.6,3.7,N
13,13,1,2,3,1,US,3.4,1.0,3.8,3.8,3.4,3.8,A
3,16,2,2,1,1,HR,3.5,3.7,3.1,3.7,3.5,3.7,N
5,23,2,2,1,1,SA,3.2,3.1,2.5,2.6,3.2,3.2,E
3,30,1,2,1,1,US,3.2,2.4,3.4,3.1,3.2,3.4,A
3,17,1,2,1,1,US,2.6,3.0,3.7,3.5,3.3,3.7,A
6,20,1,2,1,2,US,3.0,3.2,3.1,3.0,2.8,3.2,N
3,25,1,1,1,1,US,2.8,3.3,2.6,3.0,3.5,3.5,O
3,27,2,1,1,1,BR,2.6,3.4,3.1,3.2,3.6,3.6,O
