race,age,engnat,gender,hand,source,country,E,N,A,C,O,maximum,personality_type
1,43,1,2,1,2,US,3.4,2.4,3.3,3.3,3.5,3.5,O
3,46,1,1,1,5,US,3.5,1.6,3.2,3.2,2.2,3.5,E
3,17,1,1,1,2,US,3.1,2.5,3.0,3.4,3.4,3.4,C
3,30,2,2,1,1,CA,3.6,4.1,3.0,3.4,3.5,4.1,N
3,16,1,1,1,2,GB,3.5,4.0,3.3,3.2,2.6,4.0,N
3,26,1,2,1,1,US,2.7,3.8,3.2,3.5,4.1,4.1,O
3,25,1,1,1,3,GB,2.9,4.1,3.2,2.9,3.9,4.1,N
3,34,2,2,1,5,BR,3.6,1.5,3.5,3.3,3.1,3.6,E
3,34,2,1,1,5,CA,2.9,3.1,3.2,3.5,3.4,3.5,C
3,16,1,2,1,5,US,3.2,3.0,3.4,3.0,3.7,3.7,O
3,42,1,2,1,5,US,3.3,3.1,3.1,3.1,3.5,3.5,O
4,20,2,1,1,1,IN,3.4,3.1,3.1,3.2,3.1,3.4,E
13,18,2,1,1,1,BE,3.3,2.9,3.1,2.4,2.8,3.3,E
11,15,1,2,1,1,US,3.4,4.3,2.5,3.0,3.6,4.3,N
4,17,1,2,1,1,US,3.5,3.8,3.6,3.5,3.0,3.8,N
11,20,2,2,1,2,PH,3.2,3.1,3.1,3.1,3.4,3.4,O
3,19,1,2,1,1,US,3.3,2.6,3.2,3.0,3.0,3.3,E
3,28,1,2,1,1,AU,3.0,3.1,3.1,3.1,4.1,4.1,O
1,16,2,3,1,5,BR,2.8,3.3,2.9,3.3,3.8,3.8,O
1,20,2,2,1,1,US,3.2,4.6,3.4,3.5,3.1,4.6,N
3,28,1,2,1,1,US,2.5,4.2,2.7,3.8,2.7,4.2,N
13,23,1,2,1,1,US,2.8,4.2,3.0,2.4,2.9,4.2,N
3,54,1,2,1,1,AU,2.9,1.9,2.7,2.4,3.9,3.9,O
13,30,2,1,1,1,AR,3.7,2.7,2.7,3.3,2.9,3.7,E
3,23,1,1,1,2,US,3.2,2.8,3.4,2.8,3.4,3.4,A
3,20,1,2,1,1,US,2.4,2.7,3.0,3.1,3.7,3.7,O
3,40,1,2,1,1,US,3.1,2.5,3.4,3.3,3.5,3.5,O
13,52,1,2,1,1,US,3.0,4.1,3.7,3.6,3.2,4.1,N
12,25,1,1,1,1,US,3.5,2.7,3.7,2.8,3.6,3.7,A
3,23,1,1,1,1,AU,3.1,2.9,3.3,3.5,3.3,3.5,C
11,18,2,2,1,2,PH,3.4,2.9,3.7,2.5,2.7,3.7,A
0,37,1,2,1,2,CA,3.4,1.3,3.2,3.3,3.4,3.4,E
3,26,1,2,1,5,US,3.2,2.4,3.3,3.1,3.4,3.4,O
3,25,1,2,1,5,US,2.8,2.1,2.9,2.2,3.5,3.5,O
3,25,1,2,1,5,US,3.4,2.4,3.3,3.3,3.7,3.7,O
3,37,1,1,1,1,CA,2.9,2.9,3.3,3.5,3.9,3.9,O
1,29,2,2,1,1,US,2.9,2.0,3.4,3.8,4.1,4.1,O
3,20,2,1,2,1,IL,3.5,2.1,3.1,2.8,3.8,3.8,O
3,43,1,1,1,1,US,2.8,2.9,2.9,2.8,3.4,3.4,O
13,26,1,1,1,2,US,3.3,2.0,3.2,3.3,3.3,3.3,E
3,17,1,1,1,1,AE,3.8,3.4,3.2,3.6,3.4,3.8,E
3,26,1,2,1,1,US,3.0,2.3,3.2,3.0,3.4,3.4,O
3,21,1,2,1,1,US,3.0,3.5,3.2,2.8,3.6,3.6,O
13,21,2,2,1,1,PH,3.3,2.2,3.3,3.4,3.3,3.4,C
3,49,1,2,1,1,US,3.7,3.9,3.7,3.3,3.5,3.9,N
3,62,1,1,1,3,US,2.8,2.5,3.0,3.4,3.7,3.7,O
6,49,1,2,1,1,CA,3.0,3.5,2.9,3.0,3.1,3.5,N
3,38,1,1,3,2,US,2.9,1.7,3.1,3.4,3.2,3.4,C
3,23,1,2,1,2,US,3.3,2.6,3.5,3.4,3.0,3.5,A
13,27,1,1,1,5,US,3.9,2.1,3.2,3.6,3.1,3.9,E
3,34,1,2,1,2,US,2.8,2.8,3.0,3.3,3.3,3.3,C
11,20,2,2,1,2,PH,3.1,1.8,3.4,3.3,3.2,3.4,A
3,36,1,2,1,5,US,3.0,3.8,2.5,2.9,3.0,3.8,N
3,16,1,1,1,1,US,3.8,2.1,3.2,3.0,2.4,3.8,E
3,43,1,1,2,1,US,2.8,3.0,2.4,2.7,3.7,3.7,O
11,22,1,2,1,1,ID,2.9,2.8,3.4,3.8,3.7,3.8,C
1,20,1,2,1,4,US,3.1,2.7,3.2,2.7,3.0,3.2,A
3,48,2,1,1,1,NZ,2.9,2.9,2.7,2.7,3.5,3.5,O
4,38,2,1,1,1,SG,3.2,2.2,3.4,3.0,2.6,3.4,A
3,26,1,1,1,5,US,3.5,3.1,2.8,3.4,3.5,3.5,E
1,16,1,2,1,2,US,3.2,3.3,3.2,3.1,3.0,3.3,N
3,20,1,1,1,1,US,3.0,2.3,2.3,3.2,2.6,3.2,C
11,17,2,2,1,1,PH,3.2,3.4,3.7,3.5,3.4,3.7,A
6,19,1,2,1,1,US,2.9,2.4,3.2,3.0,3.1,3.2,A
1,17,1,1,1,1,US,3.0,3.0,2.7,3.1,3.2,3.2,O
1,24,2,1,1,1,US,3.8,2.0,2.9,3.7,3.0,3.8,E
3,19,2,2,1,2,US,2.8,3.7,3.1,3.1,3.0,3.7,N
3,60,1,2,1,5,US,3.4,2.8,3.4,3.7,3.8,3.8,O
3,21,1,1,1,2,US,3.2,2.6,2.9,3.1,3.6,3.6,O
4,40,2,2,1,1,IN,3.3,3.1,3.5,2.9,3.2,3.5,A
4,16,1,2,1,1,IN,3.3,4.1,4.0,3.1,2.9,4.1,N
13,18,2,2,1,2,PH,2.7,3.7,3.4,2.8,2.7,3.7,N
11,32,1,2,3,1,PH,4.7,3.1,4.2,3.0,3.4,4.7,E
11,20,2,2,1,1,PH,3.1,3.4,3.2,2.3,2.4,3.4,N
3,20,1,2,1,1,US,3.1,2.7,3.2,2.7,3.3,3.3,O
3,18,1,1,2,1,US,3.0,3.3,3.3,3.1,4.3,4.3,O
11,22,2,2,1,5,TH,3.5,3.4,3.5,3.4,3.4,3.5,E
11,23,2,2,1,1,PH,3.2,3.8,3.3,3.2,2.9,3.8,N
1,30,1,2,1,2,US,2.8,2.9,2.7,2.9,3.6,3.6,O
11,22,2,2,1,5,TH,4.4,4.4,4.3,4.5,4.3,4.5,C
11,16,2,2,1,1,PH,2.8,4.1,4.0,3.5,3.4,4.1,N
11,23,2,2,1,1,BD,3.0,2.9,3.1,2.7,3.3,3.3,O
13,42,2,1,1,1,SA,2.8,2.9,2.3,2.9,2.7,2.9,N
4,17,1,1,1,1,IN,3.0,3.7,3.8,3.8,3.7,3.8,A
3,16,1,1,2,1,US,2.9,3.7,3.0,3.5,3.3,3.7,N
4,18,2,2,1,1,IN,3.3,3.7,3.5,3.5,2.6,3.7,N
6,19,1,2,1,1,US,2.4,3.8,2.7,2.5,3.3,3.8,N
1,28,1,1,1,1,US,2.9,3.4,3.4,3.7,3.4,3.7,C
3,24,2,1,1,2,DK,2.7,2.7,3.6,3.2,3.9,3.9,O
11,36,2,2,1,2,MY,3.5,2.8,3.2,3.4,3.2,3.5,E
12,19,1,1,1,1,GB,3.0,3.0,3.2,3.0,3.3,3.3,O
3,21,2,2,1,1,SE,3.1,3.9,3.3,2.8,3.7,3.9,N
4,27,2,2,1,1,IN,2.9,4.2,2.9,2.6,2.9,4.2,N
4,28,2,1,1,2,IN,2.6,2.3,3.6,2.8,2.8,3.6,A
11,17,1,2,1,5,AU,2.3,3.5,3.2,2.8,2.6,3.5,N
3,39,1,1,1,5,US,2.7,2.5,3.4,2.9,3.6,3.6,O
3,24,1,2,1,1,GB,2.8,3.0,3.4,2.8,2.8,3.4,A
3,21,1,1,1,1,AU,2.9,3.5,3.3,2.3,3.3,3.5,N
11,17,1,2,2,2,SG,2.9,3.0,3.3,3.3,3.2,3.3,A
3,32,1,2,1,1,AU,3.1,1.8,3.2,3.1,2.9,3.2,A
13,17,2,1,1,2,PH,3.0,2.5,3.4,3.5,3.7,3.7,O
1,19,2,2,1,1,PH,3.2,2.2,3.1,3.0,2.7,3.2,E
3,26,1,1,1,1,US,3.0,2.7,3.4,2.9,3.3,3.4,A
4,25,2,2,1,5,US,3.5,3.0,3.4,3.2,3.2,3.5,E
3,36,1,2,1,1,US,2.8,3.4,3.4,3.3,3.2,3.4,N
11,20,2,2,1,1,PH,2.9,3.9,3.9,3.4,3.4,3.9,N
13,24,1,2,1,1,KE,3.6,3.9,3.3,3.8,3.6,3.9,N
3,14,1,2,1,1,GB,2.9,3.5,2.9,3.1,2.5,3.5,N
3,15,1,2,1,1,GB,3.7,3.6,2.6,3.3,3.4,3.7,E
13,15,1,2,1,1,GB,2.2,4.4,3.0,3.8,3.5,4.4,N
3,15,1,2,1,1,GB,3.0,3.6,2.8,2.8,2.8,3.6,N
3,15,1,2,1,1,GB,2.8,2.7,3.0,3.2,3.0,3.2,C
3,16,1,1,1,1,GB,3.1,2.5,2.0,3.0,2.5,3.1,E
3,14,1,1,1,1,GB,3.3,2.2,2.8,4.3,3.2,4.3,C
3,15,1,1,1,1,GB,3.3,2.6,2.9,2.7,3.2,3.3,E
3,14,1,2,1,1,GB,3.7,4.5,2.7,3.2,2.9,4.5,N
3,15,1,1,1,1,GB,2.8,2.2,2.9,2.6,2.7,2.9,A
3,15,1,1,1,1,GB,3.1,2.2,3.3,2.8,2.9,3.3,A
3,14,1,1,1,1,GB,5.0,5.0,5.0,5.0,5.0,5.0,E
3,15,1,2,1,1,GB,2.9,3.1,2.9,3.5,3.1,3.5,C
11,16,2,1,1,5,PK,4.0,3.7,3.3,4.0,3.2,4.0,E
3,52,1,1,1,1,NZ,3.1,1.8,3.1,2.8,2.6,3.1,E
3,15,1,2,1,1,GB,3.0,4.5,3.1,3.1,3.5,4.5,N
4,25,2,1,1,1,IN,3.5,2.8,3.8,3.1,3.1,3.8,A
13,27,2,2,1,1,FI,3.0,2.1,3.1,3.3,3.4,3.4,O
13,18,1,2,1,5,GB,3.5,2.9,2.9,3.6,3.3,3.6,C
9,31,1,2,1,2,SG,2.8,2.9,3.4,3.3,3.8,3.8,O
3,26,1,1,1,5,GB,3.0,3.2,3.2,3.0,3.7,3.7,O
11,21,2,2,1,1,PH,3.2,3.5,3.4,3.0,3.0,3.5,N
3,43,1,2,2,1,US,3.0,2.9,3.4,3.2,3.5,3.5,O
4,21,2,1,1,1,IN,3.2,3.4,3.4,3.5,2.9,3.5,C
13,23,1,2,1,1,AU,3.4,1.8,3.0,2.7,3.3,3.4,E
6,28,2,1,1,1,DE,2.6,3.4,3.0,3.2,3.2,3.4,N
11,24,2,2,1,1,PH,2.6,2.0,2.8,3.3,2.9,3.3,C
3,18,1,1,1,5,GB,3.1,2.8,3.2,3.2,3.2,3.2,A
9,19,2,2,1,1,PH,2.9,3.5,3.5,3.6,3.0,3.6,C
11,19,1,2,1,2,SG,3.2,4.3,3.5,3.0,2.7,4.3,N
3,24,1,1,1,2,NZ,3.3,2.8,3.1,2.6,3.8,3.8,O
13,39,1,2,1,2,US,2.8,1.4,3.0,2.8,2.6,3.0,A
3,17,1,1,1,1,GB,3.2,2.4,3.2,3.5,3.0,3.5,C
4,27,2,1,1,1,IN,3.1,4.0,3.6,2.9,3.8,4.0,N
3,18,2,2,1,1,CA,3.1,2.8,2.2,3.0,2.1,3.1,E
13,22,1,2,1,1,PH,3.1,3.5,3.5,3.4,2.7,3.5,N
4,17,1,2,1,1,IN,3.3,1.9,3.7,3.3,3.0,3.7,A
11,21,1,2,1,2,AU,3.4,4.4,3.3,3.5,3.1,4.4,N
11,29,2,1,1,1,VN,3.0,2.8,3.4,3.0,3.0,3.4,A
3,41,2,2,1,1,MA,2.8,3.4,3.0,3.3,3.3,3.4,N
3,18,1,1,1,5,GB,3.4,3.7,3.1,3.2,3.0,3.7,N
12,18,1,2,1,5,GH,3.4,3.2,3.8,2.8,2.9,3.8,A
13,15,2,2,1,1,IN,3.8,4.6,3.8,3.7,3.6,4.6,N
3,60,1,2,3,1,AU,3.0,3.1,2.7,3.7,3.8,3.8,O
3,25,1,2,1,1,US,3.0,2.5,2.9,3.0,3.3,3.3,O
11,20,2,2,1,5,PH,3.2,3.5,3.4,3.0,3.5,3.5,N
3,18,2,2,1,2,RO,3.2,3.7,3.5,3.0,3.2,3.7,N
3,20,1,2,1,5,GB,3.3,3.7,3.2,3.4,3.6,3.7,N
11,18,2,1,1,1,PH,3.1,1.8,3.1,3.3,2.9,3.3,C
3,14,1,2,1,5,US,3.1,4.3,3.2,3.9,3.6,4.3,N
12,26,2,1,1,1,EU,3.5,2.6,3.1,2.9,3.0,3.5,E
3,20,1,2,1,5,GB,3.1,3.8,3.2,3.8,3.5,3.8,N
3,22,2,2,1,1,EE,2.8,3.4,2.9,2.8,2.8,3.4,N
5,23,2,2,1,5,FR,3.2,2.8,3.2,2.1,2.8,3.2,E
3,28,2,2,1,4,US,3.0,3.0,3.7,3.7,3.3,3.7,A
3,27,1,2,1,1,CA,2.8,3.2,3.0,3.2,3.5,3.5,O
5,22,2,1,1,5,FR,3.2,2.7,3.3,3.3,2.8,3.3,A
11,22,2,2,1,5,FR,2.9,2.6,3.1,3.0,3.1,3.1,A
13,22,2,1,1,1,IN,3.1,2.9,3.6,3.6,3.2,3.6,A
13,25,2,2,2,5,FR,2.9,3.5,3.5,2.8,3.3,3.5,N
13,30,1,2,1,5,FR,3.1,3.1,3.4,3.0,3.7,3.7,O
13,17,2,1,1,1,PH,3.3,4.6,2.7,2.6,3.5,4.6,N
11,19,2,2,2,1,PH,3.3,4.0,2.9,2.7,3.1,4.0,N
13,54,1,2,1,5,BM,3.2,2.1,2.8,3.1,3.3,3.3,O
6,20,1,1,1,5,US,3.7,3.1,2.9,3.3,2.8,3.7,E
13,35,2,1,1,1,IN,3.5,2.6,3.5,2.9,3.2,3.5,E
4,17,2,2,2,1,OM,2.8,2.9,2.9,3.1,3.5,3.5,O
1,13,1,2,1,1,MY,2.8,1.8,3.3,3.2,3.6,3.6,O
3,23,1,2,1,5,US,3.1,2.6,3.3,2.9,3.6,3.6,O
11,16,2,2,1,1,PH,3.0,3.0,3.6,3.4,3.4,3.6,A
6,51,1,1,1,1,ZA,3.6,3.1,3.4,3.3,3.0,3.6,E
4,16,2,2,1,1,IN,2.6,2.7,2.9,2.9,2.9,2.9,A
1,31,1,1,1,1,BE,3.1,2.6,3.0,3.5,3.5,3.5,C
11,20,2,1,1,1,PH,3.0,3.4,4.2,2.6,2.2,4.2,A
4,22,2,1,1,1,IN,3.0,2.6,3.3,2.9,3.3,3.3,A
3,47,1,2,1,1,US,3.0,2.7,3.0,3.0,2.5,3.0,E
11,23,2,2,1,1,PH,3.2,2.8,3.6,3.1,3.6,3.6,A
4,22,2,1,1,1,IN,2.7,3.1,3.9,2.4,1.9,3.9,A
5,25,2,1,2,2,NL,3.1,2.5,3.4,3.4,3.7,3.7,O
3,24,2,1,1,2,HR,2.7,3.7,3.3,3.1,3.3,3.7,N
3,17,1,1,2,2,CA,3.1,2.3,3.0,2.9,3.2,3.2,O
4,17,1,2,1,5,CA,3.0,3.3,3.5,3.6,2.9,3.6,C
3,16,1,1,1,5,CA,3.4,2.4,2.9,2.4,2.8,3.4,E
11,20,2,1,1,1,ID,3.4,3.0,3.9,3.7,3.8,3.9,A
3,17,1,2,1,1,AU,3.2,2.9,3.2,3.4,3.4,3.4,C
3,17,1,2,1,5,CA,2.9,4.0,2.9,3.3,2.3,4.0,N
3,19,1,2,1,5,US,3.2,4.1,3.3,3.1,2.9,4.1,N
3,17,1,2,1,5,CA,2.5,2.8,3.0,3.4,3.8,3.8,O
1,22,1,1,1,1,US,3.3,2.8,3.8,3.0,3.2,3.8,A
3,35,1,1,1,1,US,3.5,2.8,3.2,3.7,3.4,3.7,C
3,30,2,2,2,5,PL,3.1,2.7,3.1,3.6,3.6,3.6,C
4,23,2,1,1,2,IN,2.8,2.8,3.2,2.8,2.4,3.2,A
13,33,1,1,1,1,US,3.4,3.8,2.9,2.8,3.1,3.8,N
5,33,2,1,1,1,CY,2.9,2.2,2.7,2.7,3.2,3.2,O
11,27,2,1,1,1,SG,3.1,3.6,3.6,3.0,3.0,3.6,N
3,16,2,2,1,2,RO,3.0,3.7,2.8,3.3,3.6,3.7,N
4,17,2,2,1,1,IN,3.4,4.9,3.8,4.2,3.6,4.9,N
1,23,2,2,1,1,SA,3.0,2.7,2.8,3.2,3.4,3.4,O
3,17,1,1,3,5,US,2.7,2.9,3.3,2.9,3.2,3.3,A
3,42,2,1,1,5,BG,3.4,3.2,3.4,3.4,3.4,3.4,E
3,16,1,2,1,5,US,2.9,4.0,3.5,3.8,3.8,4.0,N
13,22,2,2,1,1,US,3.0,2.8,2.5,3.3,2.9,3.3,C
13,30,2,1,1,1,IL,2.5,2.5,2.9,2.8,3.6,3.6,O
3,16,1,2,1,1,GB,2.9,3.6,3.1,2.8,3.7,3.7,O
13,38,1,2,1,1,US,3.1,1.8,3.8,2.3,3.1,3.8,A
3,29,1,2,2,2,US,2.9,2.8,3.0,3.3,3.3,3.3,C
3,44,1,2,1,1,US,3.1,2.6,3.2,3.2,3.7,3.7,O
3,22,1,2,1,5,US,2.7,3.3,3.8,3.2,2.8,3.8,A
3,21,1,2,1,5,US,2.7,3.2,2.8,3.2,3.3,3.3,O
4,16,2,2,1,1,IN,2.6,3.7,2.9,3.5,3.6,3.7,N
12,24,1,2,1,1,NG,3.2,2.4,3.1,3.0,3.1,3.2,E
3,20,1,2,1,5,US,2.8,3.3,2.9,3.5,3.7,3.7,O
1,44,1,2,1,1,US,3.2,3.1,3.4,2.8,2.9,3.4,A
3,19,2,1,1,1,RO,3.0,3.2,3.8,2.4,3.4,3.8,A
3,29,2,1,1,1,US,3.4,2.0,2.9,3.0,3.1,3.4,E
6,32,1,2,1,2,US,3.1,1.9,2.9,3.2,3.4,3.4,O
13,21,1,2,1,2,US,3.3,2.5,3.0,2.8,3.4,3.4,O
12,20,1,1,1,1,GB,3.7,2.4,3.7,3.1,3.3,3.7,E
3,37,1,1,1,1,GB,4.1,3.6,3.6,4.2,3.9,4.2,C
12,23,1,1,1,1,NG,3.0,3.0,2.9,2.9,3.2,3.2,O
3,17,1,1,1,5,US,3.2,2.4,3.0,3.1,3.7,3.7,O
3,40,1,2,1,2,US,2.8,2.6,3.3,3.3,3.2,3.3,A
3,40,1,1,0,1,ZA,3.7,2.6,3.6,3.9,3.8,3.9,C
3,40,1,2,1,1,US,3.2,4.1,3.4,3.4,3.2,4.1,N
3,24,1,1,1,1,GB,3.0,2.8,3.2,3.3,3.4,3.4,O
9,17,2,2,1,5,VN,3.2,2.2,2.7,2.7,3.1,3.2,E
3,33,2,2,1,1,AE,2.7,3.8,3.7,4.1,3.5,4.1,C
13,21,1,2,1,1,US,3.1,3.4,3.9,3.3,3.1,3.9,A
3,20,2,2,1,2,NO,2.6,3.7,3.2,3.6,3.5,3.7,N
3,19,1,1,1,5,US,2.8,2.1,3.5,2.5,3.7,3.7,O
3,62,1,1,1,1,US,3.4,3.4,3.4,3.7,3.2,3.7,C
3,20,2,1,1,5,NO,3.0,3.6,3.5,2.8,3.5,3.6,N
12,16,2,2,1,2,GH,3.0,2.7,3.8,3.0,2.6,3.8,A
3,18,2,2,1,1,NO,2.3,3.9,2.6,2.5,2.5,3.9,N
3,18,2,1,1,1,SI,3.0,3.5,2.4,3.3,3.0,3.5,N
3,18,1,1,1,5,US,3.0,3.4,3.2,3.1,3.0,3.4,N
3,14,1,2,3,2,US,3.0,3.3,2.7,3.2,3.5,3.5,O
3,45,1,2,1,1,US,3.0,4.3,3.3,3.2,3.9,4.3,N
3,29,1,2,1,1,US,2.5,3.6,3.2,3.0,4.1,4.1,O
11,19,2,2,2,1,US,3.4,3.2,3.2,3.2,3.4,3.4,E
3,13,1,2,1,1,IE,3.7,3.3,3.2,3.6,3.8,3.8,O
3,56,1,2,1,1,US,3.1,2.5,3.4,2.9,3.3,3.4,A
13,28,2,1,1,1,IN,3.6,3.9,4.5,4.5,3.9,4.5,A
3,17,1,2,1,5,US,3.0,3.1,3.4,3.3,2.3,3.4,A
4,25,2,2,1,1,HT,3.1,3.7,3.8,3.1,2.9,3.8,A
13,15,1,2,1,1,GB,3.2,3.7,2.9,2.8,2.3,3.7,N
4,18,1,2,1,5,GB,3.2,3.6,3.8,3.1,3.4,3.8,A
3,20,1,2,1,1,CA,3.1,2.8,3.2,3.7,3.8,3.8,O
4,33,2,2,1,1,BH,3.5,3.2,3.7,3.3,3.4,3.7,A
3,20,1,2,1,2,CA,3.0,2.8,3.4,3.1,3.7,3.7,O
3,20,2,2,1,2,BE,3.0,3.1,3.3,3.5,3.3,3.5,C
3,32,2,1,1,1,DE,2.5,2.5,3.0,3.0,4.0,4.0,O
1,20,1,2,1,2,US,2.9,3.6,3.6,4.0,3.6,4.0,C
13,25,2,1,1,1,IN,2.7,4.1,2.8,3.5,3.0,4.1,N
3,16,1,2,1,1,US,3.0,3.1,3.4,2.8,3.0,3.4,A
3,20,1,1,1,1,US,2.6,3.2,3.0,2.9,3.7,3.7,O
3,22,1,2,1,1,GB,3.1,2.8,2.6,3.1,3.2,3.2,O
6,18,1,2,1,1,US,3.3,3.0,2.7,4.0,3.2,4.0,C
4,28,2,1,1,1,IN,2.3,3.4,3.4,2.4,2.7,3.4,N
3,46,1,2,1,1,GB,3.2,2.9,3.1,3.2,3.4,3.4,O
3,34,1,1,2,1,US,3.0,4.3,2.8,4.2,3.4,4.3,N
13,20,1,2,1,5,US,3.5,4.2,3.6,3.5,3.6,4.2,N
3,17,1,1,1,5,US,3.2,1.8,3.0,3.4,3.6,3.6,O
3,57,1,2,1,5,US,2.9,1.6,3.3,2.5,3.2,3.3,A
9,21,2,2,1,1,IN,3.3,3.1,3.4,3.1,3.1,3.4,A
3,20,1,2,1,2,CA,2.8,2.5,2.9,3.3,3.3,3.3,C
3,17,1,1,1,1,US,3.3,3.6,3.1,2.9,2.9,3.6,N
3,14,1,2,1,1,GB,2.5,4.2,3.0,3.7,3.8,4.2,N
3,46,2,2,1,2,US,2.8,2.5,2.5,2.8,3.2,3.2,O
4,22,2,1,1,1,IN,2.9,2.8,3.2,2.5,2.5,3.2,A
3,23,2,1,1,5,SE,3.6,2.1,3.0,3.3,3.7,3.7,O
11,25,2,2,2,1,SG,2.5,4.8,3.0,3.9,3.4,4.8,N
3,17,1,2,1,1,GB,3.1,3.4,3.1,2.7,3.3,3.4,N
1,29,1,2,2,1,US,3.3,2.9,3.1,2.7,3.7,3.7,O
3,60,1,2,1,1,US,3.0,2.7,3.1,3.4,3.8,3.8,O
13,37,1,2,1,1,GB,3.6,2.0,3.4,3.4,3.0,3.6,E
3,29,2,2,1,2,FI,2.9,3.9,3.1,3.2,4.2,4.2,O
6,20,1,2,1,5,CA,3.5,2.9,3.8,3.6,3.6,3.8,A
3,27,1,2,1,1,GB,3.2,2.3,3.3,2.3,3.7,3.7,O
1,40,1,1,1,2,FR,3.5,2.0,3.0,3.1,3.4,3.5,E
13,26,1,2,1,1,US,3.6,2.2,2.8,3.4,3.8,3.8,O
3,65,1,2,1,1,US,3.0,3.3,3.3,3.0,3.2,3.3,N
3,22,1,2,1,2,US,3.3,2.4,3.3,2.9,3.3,3.3,E
13,19,1,2,1,1,US,3.0,3.0,3.7,2.9,3.0,3.7,A
5,23,2,2,1,1,LB,2.9,2.3,3.3,3.1,3.7,3.7,O
3,45,1,2,1,1,US,3.0,2.9,3.2,3.3,2.7,3.3,C
3,20,2,1,1,5,DE,3.0,3.3,2.8,3.5,4.0,4.0,O
3,14,1,1,1,1,GB,3.4,2.9,3.0,2.6,2.8,3.4,E
3,33,1,2,1,5,GB,3.2,2.3,2.8,2.8,3.7,3.7,O
3,19,1,2,1,5,GB,3.1,2.6,3.1,2.8,2.5,3.1,E
3,25,1,2,1,1,GB,2.9,3.3,2.7,2.9,3.2,3.3,N
3,17,2,1,1,1,CA,2.9,3.3,3.8,3.3,3.8,3.8,A
1,25,1,1,1,2,US,3.8,2.6,3.3,2.8,3.7,3.8,E
13,58,1,2,1,2,US,3.2,2.7,3.3,3.3,3.7,3.7,O
3,18,1,2,1,1,US,3.1,3.4,3.2,3.2,3.5,3.5,O
3,19,1,1,1,1,US,2.9,3.1,3.5,3.4,4.0,4.0,O
3,32,1,2,1,2,US,3.3,2.4,3.3,3.9,3.9,3.9,C
3,60,1,1,1,2,US,2.9,1.8,3.4,3.1,3.7,3.7,O
4,19,1,2,1,1,IN,3.1,4.2,3.3,2.7,3.6,4.2,N
12,14,1,2,1,1,JM,4.4,3.8,3.6,3.9,4.2,4.4,E
3,17,1,2,2,1,US,2.5,3.0,3.1,3.2,3.3,3.3,O
3,26,2,1,1,1,BR,3.2,3.8,2.6,3.3,3.4,3.8,N
3,21,1,1,1,1,US,2.8,4.2,3.0,3.3,4.1,4.2,N
13,21,1,2,1,5,US,3.5,3.3,3.4,3.1,3.3,3.5,E
1,13,1,2,1,2,CA,3.1,2.2,2.4,2.5,2.8,3.1,E
3,50,0,1,2,5,US,4.0,2.0,3.3,2.7,3.1,4.0,E
3,19,1,2,1,2,US,3.1,4.1,2.9,3.4,2.9,4.1,N
3,24,1,2,1,2,US,2.4,4.2,3.4,3.9,3.8,4.2,N
11,32,2,2,1,1,PH,3.0,2.7,3.3,2.9,2.8,3.3,A
4,24,2,2,1,1,AU,2.9,3.6,3.0,2.8,2.9,3.6,N
3,35,1,1,1,1,IE,2.9,3.1,3.0,3.1,3.7,3.7,O
3,17,1,1,1,1,US,2.5,3.1,3.2,3.3,3.7,3.7,O
3,45,1,1,2,1,CA,3.1,4.0,3.7,3.6,3.7,4.0,N
1,40,2,2,1,2,MX,2.7,3.5,3.5,3.1,3.0,3.5,N
0,14,1,2,1,1,US,3.3,3.2,3.0,3.6,3.5,3.6,C
3,37,1,1,1,1,AU,2.9,3.9,3.0,3.1,3.2,3.9,N
13,40,1,2,1,1,US,3.1,4.1,3.3,3.5,3.5,4.1,N
3,59,1,1,1,1,US,2.9,2.9,3.3,3.5,3.9,3.9,O
3,22,1,2,1,1,US,2.3,2.4,3.2,2.7,3.4,3.4,O
1,24,1,2,1,5,US,3.1,4.0,3.8,3.6,3.7,4.0,N
4,18,1,2,1,1,US,3.0,3.8,2.0,3.8,4.4,4.4,O
3,30,1,1,2,2,US,3.2,2.6,3.1,3.6,3.1,3.6,C
3,55,1,2,1,1,AU,3.0,2.1,3.4,3.3,3.2,3.4,A
3,41,1,2,1,2,US,3.0,2.5,3.2,3.1,3.6,3.6,O
3,42,1,2,1,2,US,3.4,2.0,3.4,3.4,3.3,3.4,E
3,25,1,2,1,1,US,2.8,3.5,3.2,3.1,3.4,3.5,N
3,28,1,2,1,1,US,3.3,3.5,3.2,3.2,3.4,3.5,N
6,19,1,1,1,1,US,3.0,2.2,3.0,2.8,3.3,3.3,O
13,43,1,1,1,5,US,3.3,2.7,3.6,2.9,3.3,3.6,A
3,17,1,1,1,1,US,3.2,2.8,3.3,3.6,3.5,3.6,C
5,41,1,2,1,5,US,3.4,4.2,3.4,4.3,3.3,4.3,C
3,23,1,2,1,2,US,3.3,2.6,3.5,3.4,2.6,3.5,A
13,21,1,2,2,1,US,3.3,3.8,2.7,3.0,2.6,3.8,N
11,18,2,2,1,2,PH,2.8,3.4,3.1,2.8,3.0,3.4,N
3,23,1,1,1,5,AU,3.2,3.7,3.4,3.4,3.5,3.7,N
13,19,1,1,1,2,US,3.5,1.4,3.0,3.4,3.5,3.5,E
